Business Area,Report Name,Report Description,Existing Label,Dictionary Label,ICM Data Field Path,Label Source,Label Match Rating,Follow Up Required
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",office,Case Office,Case/Case View Screen,ICM,Low,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",stub received,Stub Received,No,MIS,High,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",file id,Legacy ID,Case/Case View Screen,ICM,Low,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",hardship/signal,Hardship/Signal,No,MIS,High,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",caseload number,Caseload,Case/Work Queue,MIS,High,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",How Issued,Payment Method,Case/Plans/MIS chequee History,ICM,Low,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",Name,Payee Name,Case/Plans/MIS chequee History/Payee,ICM,Low,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",Address,Address,Case/Plans/MIS chequee History,ICM,Low,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",Postal Code,Postal Code,Case/Plans/MIS chequee History,ICM,Low,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",acct type,Account Type,No,MIS,High,MIS
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",cost type,Cost Type,No,MIS,High,MIS
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",earned,Earned Income,No,MIS,High,MIS
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",unearned,Unearned Income,No,MIS,High,MIS
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",type line,Type Line,No,MIS,High,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",amount,Amount,No,MIS,High,No
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",Cheque Number,Cheque Number,Case/Plans/MIS chequee History,MIS,Low,MIS
Local Offices,Computer Cheques and EFTs Issued (MI116-01),"List of Cheques issues in XXX month. All cheques issued in the month, sorted by local office, including all distrubution methods. 
Report includes Cheque Payment to: Client, Supplier, Directed to office, Signal, No Stub
",office total,Total,No,Report,Medium,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",region,Region,NA,MIS,Medium,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",Office,Case Office,Case/Case View Screen,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",File ID,Legacy ID,Case/Case View Screen,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",CAT,Category,Case/More Info/More Info IA,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",file name,Case Name,Contact/AKA/Primary,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",applicant phn,PHN,Case/Contact/SINPHN/PHN,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",spouse phn,PHN,Case/Contact/SINPHN/PHN,ICM,Low,No
Local Offices,MSO MONITORING REPORT (MI95W-01),"Case Management - Changes to MSO Status that require worker Action. 
Lists all MSO files in the region
Purpose: Used by office 313 only to remind MSO clients to submit sd81 for AEE rollover 
Case Status: Open
Class Code: 08
PWD Status: Yes
Enhancement- Add Criteria of MSO Reaon: AEE Exhausted",file open date,Open Date,"Case/Case View Screen
",ICM,Medium,No
